event_title,event_genres,line_up,place,starting_time,finishing_time,venue_information,event_location_details,event_ticket_types,ticket_price,location_identifier,location_address,remain_prices,image,data_date,url,Record ID,id,city,starting_day,free_entrance,latitud,longitud,district
LUNES | Happy Mondays! ,"International, Urban, Hits",NaN,La3,2024-11-18 23:59:00,2024-11-19 07:00:00,happy Mondays! Every monday night @ La3,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 12.0, 18.0, 20.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 12.0, 18.0, 20.0",https://images.xceed.me/events/banners/happy-mondays-pre-fallas-valencia-xceed-7c03.png?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/lunes-happy-mondays-27--171478,reckNSPAuN0hz0dcl,reckNSPAuN0hz0dcl,Valencia,Monday,True,39.473577,-0.34458459999996,Algirós
MARTES | La3 International  Club! ,"International, Urban, Hits",NaN,La3,2024-11-19 23:59:00,2024-11-20 07:00:00,Tuesday Party!,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 12.0, 18.0, 20.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 12.0, 18.0, 20.0",https://images.xceed.me/events/banners/la3-international-club-9-valencia-xceed-1949.jpg?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/martes-la3-international-club-27--171479,recvNxgCIanb6EEqQ,recvNxgCIanb6EEqQ,Valencia,Tuesday,True,39.473577,-0.34458459999996,Algirós
MIÉRCOLES | Project 3! Welcome to the fraternity,"International, Urban, Hits",NaN,La3,2024-11-20 23:59:00,2024-11-21 07:00:00,Project 3! Welcome to the Fraternity,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Bottle Service, Ticket, Guest List","0.0, 10.0, 15.0, 20.0, 90.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 15.0, 20.0, 90.0",https://images.xceed.me/events/banners/project-3-welcome-to-the-fraternity-21-valencia-xceed-af3f.jpg?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/miercoles-project-3-welcome-to-the-fraternity-26--171481,recEwicGUvV4ILxs8,recEwicGUvV4ILxs8,Valencia,Wednesday,True,39.473577,-0.34458459999996,Algirós
Jueves 21/11 // MOOVA en LATEX,"Afrobeats, Amapiano, Funky",NaN,Latex Club,2024-11-21 23:59:00,2024-11-22 07:30:00,"Moova es un sello de Black Music en la cual brindan Registros de música negra y moda. Moova nace para traer a la ciudad de Valencia, conceptos de fiesta los cuales se producen en ciudades como: Paris, Londres, Ámsterdam, Berlín, etc. MOOVA es tu evento semanal donde estará presente todo el público internacional, junto a las puestas en escenas más desarrolladas de la década. Te esperamos!","Latex Club in Valencia presents itself as a dynamic and versatile space, which from now on opens its doors with a varied offer for each day of the week: Thursday: Moova - A party that mixes pop, hits, reggaeton, trap and electronic music, designed to adapt to all audiences. Moova is the new event in Ruzafa that promises to make you dance to the rhythm of all genres. Friday: Club Gordo is a unique experience in the Valencia techno scene, known for its focus on the total enjoyment of electronic music. It offers a night of techno and its most advanced variants, immersing attendees in an atmosphere of mystery and freedom. Saturdays: Four rotating proposals TBA Latex Club is thus positioned as an essential place in Valencia's nightlife, combining different styles and atmospheres to satisfy all music lovers.","LISTA FREE (LIMITADAS), ANTICIPADA 12 €","0.0, 12.0","39.4615073,-0.3727169","Carlos Cervera, 23, Valencia, Spain","0.0, 12.0",https://images.xceed.me/events/banners/jueves-21-11-moova-en-latex-valencia-xceed-d2db.png?w=600&fm=auto,2024-11-21,https://xceed.me/en/valencia/event/jueves-21-11-moova-en-latex--171546,rec2ANjFbwSmGrMEP,rec2ANjFbwSmGrMEP,Valencia,Thursday,True,39.4615073,-0.3727169,l'Eixample
Bambant: Aaron Gehrig + Segu + Victor Polo / Bar: Eli,"Underground, House, Tech house, Minimal",NaN,Oven Club Centro,2024-11-21 23:30:00,2024-11-22 06:00:00,Oven Club Coctelería +18,"· Located in Valencia center · Funktion One · House, Deep House, Disco, Funk, Dub Techno, Trip Hop, Downtempo... · + 21","Ticket, Guest List","0.0, 12.0","39.4637314,-0.37599309999996","Gran Via de les Germanies, 31, Valencia, Spain","0.0, 12.0",https://images.xceed.me/events/banners/era-by-special-k-aguirre-camiel-daamen-bar-hora-valencia-xceed-050e.jpg?w=600&fm=auto,2024-11-21,https://xceed.me/en/valencia/event/bambant-aaron-gehrig-segu-victor-polo-bar-eli--171611,recVxa0YnEQnxsn9s,recVxa0YnEQnxsn9s,Valencia,Thursday,True,39.4637314,-0.37599309999996,l'Eixample
JUEVES | UNIVERSITY PARTY,"Hits, Urban Sound",R-FLOW,La3,2024-11-21 23:59:00,2024-11-22 06:00:00,Vuelven los Jueves Universitarios a La3!,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Ticket, Guest List","0.0, 10.0, 15.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 15.0",https://images.xceed.me/events/banners/jueves-university-by-r-flow-1-valencia-xceed-049d.png?w=600&fm=auto,2024-11-21,https://xceed.me/en/valencia/event/jueves-university-party--171480,recjRSUETMDIFafSD,recjRSUETMDIFafSD,Valencia,Thursday,True,39.473577,-0.34458459999996,Algirós
Jagger Club,"Hits, Pop Internacional, House",Kidrizzo,Jagger Club,2024-11-21 22:30:00,2024-11-22 03:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,100.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",100.0,https://images.xceed.me/events/banners/jagger-club-146-valencia-xceed-81b5.jpg?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/jagger-club-187--171139,recxQSVBWQfXJKWgi,recxQSVBWQfXJKWgi,Valencia,Thursday,False,39.4660067,-0.3718288,l'Eixample
FRIDAY 22/11 MAIN: ROTO ROOKIES W/ VIVI K + KRISTINA,"Student, Urban, Urban Sound, Reggaeton, Hip-hop","KRISTINA, VIVI K",ROTO CLUB,2024-11-22 23:59:00,2024-11-23 07:30:00,"ROTO CLUB arises from the need to create a safe space in which to play, listen and experience today's urban scene.","ROTO CLUB arises from the need to create a safe space in which to play, listen and experience today's urban scene. Main Room (ROTO CLUB): Here you can listen to and dance to genres such as Reggaeton, Hip Hop, and Urban, being ideal for lovers of these styles.","LISTA DESCUENTO (Pago en puerta), Mesa 11 V.I.P. DJ-ZONE, ANTICIPADA 12€, Mesa 6, Mesa 3, Mesa 7, Mesa 9, Mesa 10 V.I.P. DJ-ZONE, Mesa 8, Mesa 1, Mesa 4, Mesa 5, LISTA FREE, Mesa 2","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","39.454988,-0.3748483","Av. d'Ausiàs March, 18, Valencia, Spain","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0",https://images.xceed.me/events/banners/friday-22-11-main-roto-rookies-w-vivi-k-kristina-valencia-xceed-3fad.png?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/friday-22-11-main-roto-rookies-w-vivi-k-kristina--170574,recwo8zr0HdqFFBof,recwo8zr0HdqFFBof,Valencia,Friday,True,39.454988,-0.3748483,Quatre Carreres
Play + Raw Planet 22.11.2024,"Hipster, Local, 90s - 00s, Reggaeton, Electro",NaN,Play Club,2024-11-22 23:59:00,2024-11-23 07:00:00,"¡Arranca la nueva temporada de Play Club! Sala renovada y el espíritu de siempre! En la sala principal, Hits, indie, rock, pop y el toque justo de urban y en nuestra sala 2, Hottest in town, los eventos más innovadores y los DJs más experimentales. Este viernes con Raw Planet, electrónica, house y toques de techno de nuestro colectivo de DJs locales favorito.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Guest List","0.0, 12.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 12.0",https://images.xceed.me/events/banners/play-raw-planet-270924-valencia-xceed-8880.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/play-raw-planet-22112024--170663,recdR5ITiDbFmL92T,recdR5ITiDbFmL92T,Valencia,Friday,True,39.462588,-0.37752999999998,l'Eixample
Viernes 22/11 CARMEN ALCAYDE en PICCA,"LGBTQ+, Local, Hits, Pop Internacional",NaN,PICCA,2024-11-22 23:59:00,2024-11-23 07:30:00,"This Saturday at Picca Club, we invite you to Picca Origins! We relived the spirit of Piccadilly, where every weekend was an unforgettable party. Come enjoy a night full of fun, with a varied audience where everyone is welcome. Immerse yourself in nostalgia and live the unique experience that has made Piccadilly legendary since its inception. Don't miss it, return to the origin with us and create new memories! PICCA! The place where you can be you.","PICCA. El lugar donde ser tú mismx. Todos los viernes y sábados de 00.00h a 07.30h. En pleno corazón de Ruzafa. La mítica sala SIDER, ambientada en una boite abierta desde 1969 se reconvierte en un espacio de diversión y diversidad LGTBI. 3 salas en un mismo espacio: Silent Battle: Donde una sala repleta de auriculares disfrutarán de tres estilos musicales. ¿Qué color ganará? ¡Los cascos están disponibles todos los viernes y sábados! Cocktail bar: Un espacio para disfrutar de los cócteles más refrescantes de todos los colores y sabores ;). Picca Club: Una sala para disfrutar la más pura esencia de Picca y bailar los mejores HITS del momento. La misma esencia pero renovadxs. Así que ponte guuuuuapa como diría la Rosalía. You are welcome, cariño. Picca, feel to be free. Prohibida la entrada a menores de 18 años. C/Tomasos 14, Valencia.","ANTICIPADA 12 €, LISTA FREE, LISTA DESCUENTO (Pago en puerta)","0.0, 12.0","39.461619,-0.37232700000004","Carrer dels Tomassos, 14, Valencia, Spain",12.0,https://images.xceed.me/events/banners/viernes-22-11-carmen-alcayde-en-picca-valencia-xceed-5f4a.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/viernes-22-11-carmen-alcayde-en-picca-1--171076,rec3cKfCpTFMMSUVv,rec3cKfCpTFMMSUVv,Valencia,Friday,False,39.461619,-0.37232700000004,l'Eixample
