ticket_price,remain_prices
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 15.0, 20.0, 90.0","0.0, 10.0, 15.0, 20.0, 90.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 10.0, 15.0","0.0, 10.0, 15.0"
100.0,100.0
"0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 12.0",12.0
"0.0, 5.0, 12.0, 15.0","5.0, 12.0, 15.0"
"0.0, 10.0, 15.0, 19.0","0.0, 10.0, 15.0, 19.0"
"0.0, 12.0, 18.0, 150.0","0.0, 12.0, 18.0, 150.0"
"0.0, 15.0","0.0, 15.0"
"0.0, 12.0","0.0, 12.0"
120.0,SOLD OUT
"0.0, 20.0","0.0, 20.0"
"10.0, 15.0, 20.0, 25.0, 30.0, 50.0","10.0, 20.0, 25.0, 30.0, 50.0"
"0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0"
"0.0, 10.0, 15.0, 120.0","0.0, 10.0, 15.0, 120.0"
"0.0, 12.0, 18.0, 150.0","12.0, 18.0, 150.0"
"0.0, 10.0, 15.0, 19.0, 20.0","0.0, 10.0, 15.0, 19.0, 20.0"
"0.0, 12.0, 15.0","12.0, 15.0"
"0.0, 10.0, 15.0","0.0, 10.0, 15.0"
"0.0, 20.0","0.0, 20.0"
"0.0, 15.0","0.0, 15.0"
"0.0, 8.0, 12.0, 20.0","0.0, 8.0, 12.0, 20.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 10.0","0.0, 10.0"
120.0,120.0
12.0,12.0
100.0,100.0
"0.0, 15.0, 19.0, 30.0","0.0, 15.0, 19.0, 30.0"
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 15.0, 20.0, 90.0","0.0, 10.0, 15.0, 20.0, 90.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 12.0","0.0, 12.0"
100.0,100.0
"0.0, 10.0, 15.0","0.0, 10.0, 15.0"
"10.0, 12.0, 15.0, 18.0, 20.0, 22.0, 28.0","18.0, 20.0, 22.0, 28.0"
"2.0, 5.0, 10.0, 50.0","5.0, 10.0, 50.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 10.0, 15.0, 19.0, 20.0","0.0, 5.0, 10.0, 15.0, 19.0, 20.0"
"0.0, 15.0","0.0, 15.0"
"0.0, 12.0, 18.0, 150.0","0.0, 12.0, 18.0, 150.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 20.0","0.0, 20.0"
120.0,120.0
"15.0, 20.0, 25.0, 30.0","25.0, 30.0"
"12.0, 15.0, 18.0, 20.0, 23.0, 39.0, 60.0, 700.0","30.0, 35.0, 60.0, 500.0"
"0.0, 10.0, 15.0, 120.0","0.0, 10.0, 120.0"
"0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0"
"12.0, 15.0, 20.0, 150.0","12.0, 15.0, 20.0, 150.0"
"0.0, 15.0, 150.0, 250.0, 300.0, 350.0, 400.0, 500.0, 600.0","0.0, 15.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 600.0"
"2.0, 16.0, 19.0","2.0, 14.0, 15.0, 18.0"
"0.0, 12.0, 18.0, 150.0","0.0, 12.0, 18.0, 150.0"
"0.0, 12.0, 15.0","0.0, 12.0, 15.0"
"0.0, 10.0","0.0, 10.0"
"0.0, 10.0, 15.0, 19.0, 20.0","0.0, 5.0, 10.0, 15.0, 19.0, 20.0"
"0.0, 8.0, 12.0, 20.0","0.0, 8.0, 12.0, 20.0"
"0.0, 12.0, 15.0, 18.0","0.0, 12.0, 15.0, 18.0"
"0.0, 15.0","0.0, 15.0"
"10.0, 20.0, 30.0, 150.0, 300.0, 500.0","0.0, 10.0, 20.0, 30.0, 150.0, 300.0, 500.0"
"0.0, 20.0","0.0, 20.0"
12.0,12.0
100.0,100.0
120.0,120.0
"0.0, 9.0","0.0, 9.0"
"0.0, 15.0, 19.0, 30.0","0.0, 15.0, 19.0, 30.0"
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 12.0, 18.0, 20.0","0.0, 10.0, 12.0, 18.0, 20.0"
"0.0, 10.0, 15.0, 20.0, 90.0","0.0, 10.0, 15.0, 20.0, 90.0"
"20.0, 25.0, 40.0","25.0, 28.0, 30.0"
"12.0, 220.0","0.0, 12.0, 220.0"
"0.0, 15.0","0.0, 15.0"
100.0,SOLD OUT
"25.0, 30.0, 35.0, 50.0","30.0, 35.0, 50.0"
"15.0, 20.0","20.0, 25.0"
"0.0, 15.0","0.0, 15.0"
"0.0, 10.0, 15.0, 120.0","0.0, 10.0, 15.0, 120.0"
120.0,120.0
"0.0, 12.0, 220.0","0.0, 12.0, 220.0"
"0.0, 15.0, 19.0, 30.0","19.0, 30.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 15.0","0.0, 15.0"
16.0,16.0
"0.0, 15.0","0.0, 15.0"
"10.0, 15.0, 20.0, 25.0, 40.0","15.0, 20.0, 25.0, 40.0"
"5.0, 10.5, 12.0","5.0, 10.5, 12.0"
"0.0, 5.0, 10.0, 15.0","0.0, 5.0, 10.0, 15.0"
"5.0, 10.5, 12.0","5.0, 10.5, 12.0"
10.0,10.0
"0.0, 10.0, 15.0, 200.0, 500.0, 750.0","10.0, 15.0, 200.0, 500.0, 750.0"
"5.0, 10.0, 15.0, 500.0","5.0, 10.0, 15.0, 500.0"
"5.0, 10.0, 15.0, 20.0","5.0, 15.0, 20.0"
"10.5, 12.0","10.5, 12.0"
"10.5, 12.0","10.5, 12.0"
"0.0, 180.0","0.0, 180.0"
"10.5, 12.0","10.5, 12.0"
"10.5, 12.0","10.5, 12.0"
"10.0, 15.0, 20.0, 25.0, 500.0","25.0, 500.0"
"10.0, 15.0, 20.0, 25.0, 250.0, 1000.0, 1500.0","15.0, 20.0, 25.0, 250.0, 1500.0"
"5.0, 10.0, 15.0, 20.0","5.0, 10.0, 15.0, 20.0"
"0.0, 12.0, 15.0, 200.0","0.0, 12.0, 15.0, 200.0"
"15.0, 20.0, 25.0, 250.0, 750.0","15.0, 20.0, 25.0, 250.0, 750.0"
"0.0, 15.0","0.0, 15.0"
"5.0, 10.0, 15.0, 20.0","5.0, 10.0, 15.0, 20.0"
"0.0, 180.0","0.0, 180.0"
"5.0, 10.5, 12.0","5.0, 10.5, 12.0"
15.0,15.0
"0.0, 12.0","0.0, 12.0"
"0.0, 15.0","0.0, 15.0"
"0.0, 15.0, 20.0, 30.0, 300.0, 600.0, 1000.0, 1500.0, 2500.0, 5000.0","20.0, 30.0, 300.0, 600.0, 1000.0, 1500.0, 5000.0"
"0.0, 5.0, 10.0, 15.0","0.0, 5.0, 10.0, 15.0"
"0.0, 5.0, 10.0, 15.0","0.0, 5.0, 10.0, 15.0"
"0.0, 10.0, 15.0, 200.0, 500.0, 750.0","10.0, 15.0, 200.0, 500.0, 750.0"
"5.0, 10.0, 15.0, 20.0","5.0, 10.0, 15.0, 20.0"
"0.0, 180.0","0.0, 180.0"
"10.5, 12.0","10.5, 12.0"
10.0,10.0
15.0,15.0
"10.0, 15.0, 20.0, 25.0, 250.0, 1000.0, 1500.0","15.0, 20.0, 25.0, 250.0, 1000.0, 1500.0"
"20.0, 25.0, 30.0, 75.0, 500.0, 750.0, 1200.0","25.0, 30.0, 75.0, 500.0, 750.0, 1200.0"
"5.0, 8.0, 10.0, 400.0","5.0, 8.0, 10.0, 400.0"
"0.0, 12.0, 15.0, 200.0","0.0, 12.0, 15.0, 200.0"
"5.0, 10.0, 15.0, 20.0","5.0, 15.0, 20.0"
"20.0, 500.0","20.0, 500.0"
"10.5, 12.0","10.5, 12.0"
15.0,15.0
"0.0, 180.0","0.0, 180.0"
15.0,15.0
"10.0, 15.0, 20.0, 500.0","10.0, 15.0, 20.0, 500.0"
"10.0, 15.0, 20.0, 500.0","15.0, 20.0, 500.0"
"5.0, 10.0, 15.0, 20.0, 27.0","10.0, 20.0, 27.0"
"0.0, 15.0, 20.0, 30.0, 300.0, 600.0, 1000.0, 1500.0, 2500.0, 5000.0","0.0, 15.0, 20.0, 30.0, 300.0, 600.0, 1000.0, 1500.0, 2500.0, 5000.0"
15.0,SOLD OUT
"10.0, 15.0, 20.0, 25.0, 30.0, 600.0","30.0, 600.0"
"19.5, 25.0",25.0
"5.0, 10.0, 15.0, 20.0","5.0, 10.0, 15.0, 20.0"
15.0,15.0
"0.0, 20.0","0.0, 20.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"10.0, 15.0, 20.0, 250.0, 600.0","15.0, 20.0, 250.0, 600.0"
"20.0, 25.0",25.0
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"0.0, 20.0",20.0
"20.0, 25.0","20.0, 25.0"
"0.0, 20.0, 25.0, 30.0, 100.0","0.0, 20.0, 25.0, 30.0, 100.0"
"0.0, 12.0, 20.0, 26.0, 250.0, 600.0, 650.0","0.0, 12.0, 20.0, 26.0, 250.0, 600.0, 650.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"100.0, 150.0","100.0, 150.0"
15.0,15.0
"10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0","10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0"
"10.0, 15.0, 20.0, 250.0, 600.0","15.0, 20.0, 250.0, 600.0"
"0.0, 20.0, 25.0, 30.0, 100.0","0.0, 20.0, 25.0, 30.0, 100.0"
"18.0, 20.0, 200.0, 250.0, 300.0, 400.0, 550.0","18.0, 20.0, 200.0, 250.0, 300.0, 400.0, 550.0"
"0.0, 250.0, 350.0, 400.0, 450.0, 500.0, 700.0, 800.0","0.0, 250.0, 350.0, 400.0, 450.0, 500.0, 700.0, 800.0"
"0.0, 20.0","0.0, 20.0"
25.0,25.0
"0.0, 12.0, 14.0, 16.0, 18.0, 150.0","0.0, 12.0, 14.0, 16.0, 18.0, 150.0"
"15.0, 20.0","15.0, 20.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"100.0, 150.0","100.0, 150.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
15.0,15.0
"2.0, 5.0, 10.0, 50.0","5.0, 10.0, 50.0"
"20.0, 250.0, 600.0, 650.0","20.0, 250.0, 600.0, 650.0"
250.0,250.0
"20.0, 250.0","20.0, 250.0"
"0.0, 20.0","0.0, 20.0"
"20.0, 25.0, 300.0","20.0, 25.0, 300.0"
14.0,14.0
15.0,15.0
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"12.0, 15.0, 30.0, 120.0, 150.0, 300.0","12.0, 15.0, 30.0, 120.0, 150.0, 300.0"
"300.0, 400.0, 600.0, 900.0, 1300.0","300.0, 400.0, 600.0, 900.0, 1300.0"
"190.0, 550.0, 600.0","190.0, 550.0, 600.0"
"12.0, 15.0, 18.0, 25.0, 500.0","18.0, 25.0, 500.0"
"12.0, 15.0, 20.0, 180.0","15.0, 20.0, 180.0"
"0.0, 150.0","0.0, 150.0"
"15.0, 18.0, 20.0, 200.0","18.0, 20.0, 200.0"
"15.0, 150.0, 1000.0","15.0, 150.0, 1000.0"
"15.0, 18.0, 25.0, 100.0","15.0, 18.0, 25.0, 100.0"
"20.0, 25.0, 30.0, 40.0, 250.0, 300.0, 400.0, 600.0, 800.0","20.0, 25.0, 30.0, 40.0, 250.0, 300.0, 400.0, 600.0, 800.0"
"20.0, 200.0, 300.0, 400.0, 550.0, 800.0","20.0, 200.0, 300.0, 400.0, 550.0, 800.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"0.0, 20.0, 25.0, 30.0, 250.0, 600.0","0.0, 20.0, 25.0, 30.0, 250.0, 600.0"
"210.0, 550.0, 600.0","210.0, 550.0, 600.0"
"300.0, 400.0, 600.0, 900.0, 1000.0, 1300.0","300.0, 400.0, 600.0, 900.0, 1000.0, 1300.0"
"12.0, 15.0, 30.0, 120.0, 150.0, 300.0","12.0, 15.0, 30.0, 120.0, 150.0, 300.0"
20.0,20.0
"15.0, 18.0, 22.0, 25.0, 400.0, 500.0, 700.0, 800.0, 900.0, 1200.0, 1500.0, 2000.0","22.0, 25.0, 400.0, 500.0, 700.0, 800.0, 900.0, 1200.0, 1500.0, 2000.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"15.0, 25.0, 50.0, 100.0, 375.0, 500.0, 750.0, 2000.0","15.0, 25.0, 50.0, 100.0, 375.0, 500.0, 750.0, 2000.0"
"100.0, 150.0","100.0, 150.0"
15.0,15.0
"20.0, 25.0, 30.0, 40.0, 400.0, 1000.0, 1200.0",400.0
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"20.0, 25.0, 30.0, 40.0, 50.0",50.0
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"20.0, 25.0, 30.0, 40.0, 50.0, 400.0, 500.0, 600.0, 800.0, 1000.0, 1500.0, 1700.0, 2000.0, 2500.0, 3000.0","400.0, 600.0, 800.0, 1500.0, 2000.0, 3000.0"
"20.0, 25.0, 30.0, 40.0, 50.0, 600.0, 800.0, 1200.0, 2000.0","25.0, 30.0, 40.0, 50.0, 800.0, 1200.0, 2000.0"
"0.0, 20.0, 25.0","0.0, 25.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
15.0,15.0
"100.0, 150.0","100.0, 150.0"
"10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0","10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0"
"20.0, 250.0, 300.0, 400.0, 550.0, 800.0","20.0, 250.0, 300.0, 400.0, 550.0, 800.0"
"0.0, 20.0","0.0, 20.0"
"0.0, 12.0, 18.0","0.0, 12.0, 18.0"
"0.0, 250.0, 350.0, 400.0, 450.0, 500.0, 700.0, 800.0","0.0, 250.0, 350.0, 400.0, 450.0, 500.0, 700.0, 800.0"
"0.0, 12.0","0.0, 12.0"
15.0,15.0
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"0.0, 20.0, 25.0, 30.0, 100.0","0.0, 20.0, 25.0, 30.0, 100.0"
"100.0, 150.0","100.0, 150.0"
"25.0, 30.0, 40.0, 50.0, 400.0, 600.0, 800.0, 1500.0",SOLD OUT
"300.0, 400.0, 600.0, 900.0, 1200.0, 1300.0","300.0, 400.0, 600.0, 900.0, 1300.0"
"10.0, 150.0","10.0, 150.0"
"0.0, 20.0","0.0, 20.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"190.0, 550.0, 600.0","190.0, 550.0, 600.0"
15.0,15.0
"12.0, 15.0, 30.0, 120.0, 150.0, 300.0","12.0, 15.0, 30.0, 120.0, 150.0, 300.0"
"20.0, 25.0, 30.0, 40.0, 400.0, 600.0, 1000.0, 1200.0, 1500.0, 1600.0, 2000.0",1000.0
"12.0, 15.0, 20.0, 180.0","15.0, 180.0"
"300.0, 400.0, 600.0, 900.0, 1000.0, 1300.0","400.0, 600.0, 900.0, 1000.0, 1300.0"
"20.0, 30.0, 250.0, 600.0","20.0, 30.0, 250.0, 600.0"
"25.0, 30.0, 40.0, 50.0, 400.0, 600.0, 800.0, 1500.0","25.0, 30.0, 40.0, 50.0, 400.0, 600.0, 800.0, 1500.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
20.0,20.0
"210.0, 550.0, 600.0","210.0, 550.0, 600.0"
20.0,20.0
"0.0, 12.0, 35.0, 150.0","0.0, 12.0, 35.0, 150.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"15.0, 100.0, 150.0","15.0, 100.0, 150.0"
"15.0, 25.0, 50.0, 100.0, 375.0, 500.0, 750.0, 2000.0","15.0, 25.0, 50.0, 100.0, 375.0, 500.0, 750.0, 2000.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0","10.0, 15.0, 16.0, 30.0, 100.0, 150.0, 200.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"15.0, 100.0, 150.0","15.0, 100.0, 150.0"
"0.0, 20.0, 25.0, 30.0, 100.0","0.0, 20.0, 25.0, 30.0, 100.0"
"18.0, 20.0, 240.0, 250.0, 300.0, 400.0, 550.0","18.0, 20.0, 240.0, 250.0, 300.0, 400.0, 550.0"
"15.0, 130.0, 150.0, 190.0, 210.0","15.0, 130.0, 150.0, 190.0, 210.0"
12.0,12.0
"20.0, 100.0, 120.0","20.0, 100.0, 120.0"
12.0,12.0
"10.0, 15.0, 30.0, 120.0, 150.0, 200.0","10.0, 15.0, 30.0, 120.0, 150.0, 200.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"0.0, 20.0","0.0, 20.0"
"12.0, 15.0, 30.0, 120.0, 150.0, 300.0","12.0, 15.0, 30.0, 120.0, 150.0, 300.0"
"0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0","0.0, 20.0, 150.0, 250.0, 500.0, 750.0, 1000.0"
"15.0, 130.0, 190.0, 550.0, 600.0","15.0, 130.0, 190.0, 550.0, 600.0"
"300.0, 400.0, 600.0, 900.0, 1300.0","300.0, 400.0, 600.0, 900.0, 1300.0"
150.0,SOLD OUT
"0.0, 15.0",SOLD OUT
"0.0, 12.0","0.0, 12.0"
"10.0, 15.0, 20.0, 100.0, 130.0","10.0, 15.0, 20.0, 100.0, 130.0"
"120.0, 150.0",120.0
"200.0, 250.0",SOLD OUT
"10.0, 15.0, 20.0, 25.0, 30.0, 50.0","10.0, 20.0, 25.0, 30.0, 50.0"
"0.0, 10.0, 20.0","0.0, 10.0, 20.0"
"0.0, 200.0, 250.0","0.0, 200.0, 250.0"
"0.0, 12.0, 120.0","0.0, 12.0, 120.0"
"200.0, 250.0","200.0, 250.0"
"120.0, 150.0","120.0, 150.0"
100.0,100.0
"12.0, 15.0, 20.0, 150.0","15.0, 20.0, 150.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 120.0, 150.0, 180.0, 200.0, 300.0"
"25.0, 30.0, 35.0, 50.0",30.0
"0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0"
100.0,100.0
120.0,120.0
100.0,100.0
"7.0, 120.0","7.0, 120.0"
"0.0, 10.0, 15.0","0.0, 10.0, 15.0"
"0.0, 5.0, 10.0, 15.0, 19.0, 20.0","0.0, 5.0, 10.0, 15.0, 19.0, 20.0"
"200.0, 250.0",200.0
"0.0, 12.0","0.0, 12.0"
"10.0, 15.0, 20.0, 100.0, 130.0","10.0, 15.0, 20.0, 100.0, 130.0"
"0.0, 5.0, 10.0, 15.0, 19.0, 20.0","0.0, 5.0, 10.0, 15.0, 19.0, 20.0"
"0.0, 10.0, 20.0","0.0, 10.0, 20.0"
"0.0, 200.0, 250.0","0.0, 200.0, 250.0"
"7.0, 120.0","7.0, 120.0"
150.0,150.0
"0.0, 10.0, 20.0","0.0, 10.0, 20.0"
"200.0, 250.0","200.0, 250.0"
"120.0, 150.0","120.0, 150.0"
"200.0, 250.0","200.0, 250.0"
"200.0, 250.0","200.0, 250.0"
"120.0, 150.0","120.0, 150.0"
"0.0, 5.0, 10.0, 15.0, 19.0, 20.0","0.0, 5.0, 10.0, 15.0, 19.0, 20.0"
"2.0, 14.0, 15.0, 18.0","2.0, 14.0, 15.0, 18.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 5.0","0.0, 5.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 15.0","0.0, 15.0"
"100.0, 120.0","0.0, 100.0, 120.0"
"200.0, 250.0",SOLD OUT
"0.0, 15.0","0.0, 15.0"
"0.0, 12.0",12.0
"0.0, 10.0, 15.0, 19.0, 20.0","0.0, 10.0, 15.0, 19.0, 20.0"
"0.0, 12.0","0.0, 12.0"
"0.0, 20.0","0.0, 20.0"
"0.0, 5.0","0.0, 5.0"
"0.0, 15.0",SOLD OUT
"0.0, 15.0","0.0, 15.0"
"0.0, 20.0","0.0, 20.0"
"0.0, 12.0, 120.0, 300.0",SOLD OUT
"12.0, 200.0, 250.0","12.0, 200.0, 250.0"
"10.0, 15.0, 20.0, 100.0, 130.0",SOLD OUT
"0.0, 120.0, 150.0, 180.0, 200.0, 300.0","0.0, 120.0, 150.0, 180.0, 200.0, 300.0"
150.0,SOLD OUT
"120.0, 150.0",SOLD OUT
"0.0, 100.0, 120.0",SOLD OUT
"12.0, 200.0, 250.0","12.0, 200.0, 250.0"
"0.0, 100.0, 120.0",SOLD OUT
